 bedroom, carpet_area, balcony, park_count,bath, price_in_Lac
2,630,1,2,2,62
2,543,1,2,1,45
2,755,1,1,1,85
2,691,1,2,2,59.4
2,900,1,2,1,49
2,823,1,2,2,78
2,715,1,2,1,49
2,480,0,1,2,51
2,860,1,2,1,85
2,880,1,2,2,29
2,1226,0,2,2,148
2,750,1,2,2,47
2,660,1,2,1,54
2,880,0,2,1,68
2,754,0,2,2,65
2,677,1,2,2,45.5
2,1095,1,2,3,63
2,910,0,2,1,70
2,868,0,2,2,67
2,750,0,2,1,45
2,736,1,2,2,40
2,645,1,2,1,57.2
2,1067,1,2,1,82
2,965,1,2,1,95
2,850,1,2,1,165
2,802,0,2,2,42.2
2,720,1,2,2,65
2,820,1,2,1,54
2,750,1,2,2,54
2,761,0,2,2,57
2,1000,1,2,2,95
2,550,1,1,1,30
2,777,0,1,2,85
2,733,1,2,2,34.5
2,670,1,2,1,39
2,1150,0,2,1,99
2,713,1,2,1,64
2,950,1,2,1,141
2,698,1,2,1,99
2,850,1,2,1,87
2,1150,0,2,2,105
2,950,1,2,1,89.6
2,650,0,1,2,65
2,929,0,2,1,89
2,636,1,2,1,23
2,705,0,2,3,43.5
2,678,1,2,1,54
2,640,1,2,2,56
2,893,0,2,1,91
2,785,1,2,2,85
2,750,1,2,2,52
2,725,1,2,1,48
2,711,1,2,1,62.3
2,740,1,2,2,52
2,980,1,2,3,87
2,900,0,2,2,115
2,750,1,2,1,82
2,753,1,2,1,67.4
2,600,1,2,1,70
2,912,1,2,1,110
2,610,0,2,1,36
2,1010,1,2,2,51
2,850,1,2,1,76
2,800,0,2,1,78
2,970,1,2,1,72
2,715,1,2,1,55
2,1102,1,2,2,90
2,761,1,2,1,69.5
2,820,1,2,2,65
2,2000,0,3,2,60
2,784,0,2,1,59.5
2,810,1,2,2,115
2,808,1,2,1,69.5
2,860,1,2,1,63
2,715,1,2,2,65
2,1000,1,2,3,90
2,750,0,2,2,67
2,1170,0,2,3,67
2,660,1,2,1,50.2
2,850,1,2,1,59.2
2,750,1,2,1,51
2,700,1,2,1,57
2,785,1,2,1,70
2,825,1,2,2,78
2,990,1,2,2,111
2,900,1,2,1,105
2,1000,0,2,2,90
2,900,0,2,1,53
2,721,1,2,3,46
2,964,1,2,1,70
2,680,1,2,2,42
2,800,1,2,2,61
2,875,1,2,3,60
2,1232,1,2,2,140
2,750,1,2,2,75
2,950,0,1,1,70
2,657,1,2,1,32
2,788,1,2,1,50
2,750,1,2,2,58
2,740,1,2,2,56
2,685,1,2,2,57.3
2,780,1,2,2,71
2,750,1,2,3,54
2,800,1,2,2,78
2,880,0,2,1,92
2,761,1,2,1,75
2,722,0,2,3,45
2,860,0,2,1,127
2,925,1,2,2,90
2,680,1,2,1,43
2,721,1,2,3,52
2,1010,1,2,1,85
2,738,0,2,1,69
2,905,1,2,2,79.5
2,800,1,2,2,54
2,850,1,2,2,110
2,1000,0,2,2,89
2,800,1,2,2,64
2,781,1,2,2,70
2,750,1,2,2,68
2,1016,0,2,1,135
2,900,0,2,1,90
2,1100,0,2,1,130
2,700,1,2,2,40
2,835,2,2,2,90
2,630,1,2,2,70
2,950,1,2,2,90
2,921,1,2,2,80
2,890,1,2,2,85
2,1500,1,2,2,115
2,770,1,2,1,44
2,669,0,2,2,51
2,780,0,2,1,82
2,754,1,2,1,61
2,850,1,2,2,60
2,542,1,2,1,34
2,903,1,2,2,80
2,700,1,2,3,90.5
2,744,0,2,1,35
2,850,1,2,2,73
2,715,0,2,2,45
2,870,1,2,2,71
2,583,1,2,1,47
2,500,0,2,1,16
2,993,0,2,1,57
2,950,0,1,2,75
2,600,1,2,2,33.7
2,926,1,2,2,62
2,910,1,2,1,35
2,774,1,2,1,50
2,900,1,2,2,65
2,700,0,2,3,50.5
2,975,1,2,2,72
2,881,1,2,3,73
2,700,1,2,1,75
2,768,1,2,1,76
2,531,1,2,1,50
2,550,0,1,2,55
2,1144,1,2,2,82
2,860,1,2,2,82
2,880,1,2,1,38
2,740,1,2,1,45
2,780,0,2,1,76
2,700,1,2,1,65
2,650,1,2,1,70
2,920,1,2,2,80
2,795,1,2,2,115
2,880,1,2,2,78
2,880,1,2,2,62
2,650,1,2,3,62
2,647,1,2,1,44
2,689,0,2,1,65.8
2,436,1,2,1,25
2,670,0,2,1,40
2,676,1,2,2,58
2,924,2,2,1,72
2,750,1,2,2,70
2,736,0,2,1,58
2,648,1,2,1,60
2,723,0,2,1,60
2,62,0,2,1,41
2,691,1,2,1,29
2,1100,1,2,2,90
2,870,0,2,2,60
2,705,1,2,1,68
2,1050,1,2,1,98
2,770,0,2,3,70
2,737,1,2,2,56.5
2,685,1,2,2,60
2,673,1,2,1,53
2,900,1,2,1,110
2,950,1,2,1,75
2,634,1,2,1,55
2,652,0,2,1,35.5
2,900,1,2,1,175
2,700,1,2,1,75
2,847,1,2,1,59.5
2,860,1,2,1,90
2,980,1,2,1,98
2,680,0,2,1,78
2,811,1,2,1,74.5
2,1020,2,2,2,30.6
2,1500,0,3,2,65
2,806,0,2,2,79.9
2,647,0,2,1,34
2,980,0,2,1,60
2,760,0,2,1,60
2,1000,1,2,3,135
2,750,1,2,1,90
2,850,1,2,1,52
2,619,0,2,1,38
2,820,0,2,2,64
2,789,1,2,1,45
2,654,1,2,1,40
2,790,1,1,2,48
2,690,1,2,1,42
2,721,0,2,1,65
2,770,1,2,1,55
2,790,1,2,2,82
2,750,0,2,1,67
2,720,50,2,2,37.5
2,625,0,2,1,35
2,750,0,2,1,42
2,1232,115,2,2,72
2,620,0,2,1,37
2,883,1,2,1,50
2,587,0,1,1,32
2,800,1,2,1,29.5
2,752,1,2,1,57
2,750,110,2,2,55
2,990,0,2,2,88
2,800,0,1,1,43
2,300,1,2,1,120
2,850,1,2,2,88
2,730,1,2,2,61.9
2,765,1,2,1,41
2,750,0,2,1,59.9
2,837,1,2,1,50
2,630,1,2,1,55
2,697,1,2,2,66.5
2,740,0,2,2,69.9
2,574,0,2,2,50
2,1050,1,2,1,110
2,947,1,2,1,85
2,950,1,2,2,95
2,750,1,2,1,60
2,858,1,2,2,80
2,610,1,1,1,62
2,1020,0,2,2,50
2,754,1,2,1,43.5
2,866,1,2,1,190
2,600,1,1,1,28.5
2,615,1,2,3,34
2,621,0,2,3,105
2,575,1,2,1,61
2,620,1,2,1,37
2,828,0,2,3,85
2,820,12,2,2,72.9
2,850,0,2,2,36
2,800,1,2,1,82.5
2,690,0,2,1,56
2,1300,1,2,1,100
2,608,0,2,1,65
2,950,0,1,2,32
2,612,1,2,1,38
2,794,0,2,1,60
2,950,1,2,3,34
2,656,0,2,2,53
2,650,0,2,1,37.5
