location, bedroom, housetype, carpet_area, status, transatcion, furnishing, balcony, park_count,bath, ownership, facing, price_in_Lac
 Pent  Viman Nagar,2,Flat,NA,Ready to Move,Resale,Furnished,1,2,1,Cooperative Society,East,102
 Hadapsar,1,Flat,450,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,West,41
  Pimple Nilakh Pimpri Chinchwad,2,Flat,820,Ready to Move,Resale,Furnished,1,1,2,Cooperative Society,North  West,74
  Wakad,4,Flat,1815,Ready to Move,Resale,SemiFurnished,1,4,1,Freehold,East,220
  Thite Nagar Kharadi,2,Flat,1100,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,101
  Mahalunge,1,Flat,613,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,East,30
 shreeyas cihar,1,Flat,400,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,18.9
  Hinjewadi,3,House,2800,Ready to Move,Resale,Furnished,1,4,1,Freehold,East,146
  Shankar Sheth Rd,2,Flat,980,Ready to Move,Resale,Furnished,1,2,2,Freehold,East,100
  Warje,1,Flat,400,Ready to Move,New Property,Unfurnished,1,1,1,Freehold,West,35
  Talegaon Dabhade,1,Flat,NA,Ready to Move,Resale,Unfurnished,1,1,2,Cooperative Society,East,15.9
 Bavdhan,2,Flat,998,Ready to Move,Resale,SemiFurnished,1,2,NA,Freehold,South  East,72
 Baner,2,House,1744,Ready to Move,Resale,SemiFurnished,2,3,1,Freehold,North,210
Wadgaon Sheri,2,House,886,Ready to Move,Resale,Unfurnished,1,1,NA,Freehold,North,52
  Narhe,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,East,22
  Viman Nagar,3,Flat,1450,Ready to Move,Resale,Furnished,2,3,NA,Cooperative Society,North,160
 Pent Paud Road,4,Flat,1402,Ready to Move,Resale,Furnished,1,3,NA,Cooperative Society,East,175
  Wakad,2,Flat,872,Possession by Jun 21,Resale,Unfurnished,0,2,1,Freehold,West,83
  Tingre Nagar,2,Flat,1000,Ready to Move,Resale,SemiFurnished,0,2,2,Freehold,NA,72
 Kranti NagarThergaon Pimpri Chinchwad,1,Flat,523,Ready to Move,Resale,Unfurnished,0,1,1,Cooperative Society,East,40
  Manjri Manjri Budruk,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,1,NA,East,26
 Sakal Nagar Aundh,1,Flat,936,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,North,65
  Amanora Park Town,1,Flat,620,Ready to Move,Resale,SemiFurnished,1,1,1,NA,NA,65
  NIBM Road,2,Flat,755,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,East,64
 Karvenagar,2,Flat,972,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,East,80
  Hadapsar,3,Flat,NA,Ready to Move,Resale,Unfurnished,1,3,2,Cooperative Society,North,120
  Bhugaon Bavdhan,3,Flat,1300,Ready to Move,New Property,Unfurnished,1,3,2,Cooperative Society,East,100
  Kondhwa,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,1,Cooperative Society,North,30
  Erandwane,3,Flat,1676,Ready to Move,Resale,Unfurnished,1,4,2,Cooperative Society,West,324
  Ashoka Nagar Kharadi,2,Flat,730,Possession by Sep 23,Resale,Unfurnished,1,2,2,Freehold,East,57
  Aundh,3,Flat,NA,Ready to Move,Resale,Unfurnished,2,3,2,NA,NA,140
 Nakshatra Ventures,1,Flat,450,Possession by Feb 21,Resale,Unfurnished,0,2,1,Freehold,North  East,20
  Marunji Hinjawadi,1,Flat,451,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,North,36
 Mulshi,0,Flat,1733,NA,Resale,NA,0,NA,NA,NA,NA,56
 Kothrud,1,Flat,500,Ready to Move,Resale,Unfurnished,1,1,NA,Leasehold,North,52
 Ravet Pimpri Chinchwad,1,Flat,413,Ready to Move,Resale,SemiFurnished,0,1,1,Freehold,East,30
  Wanwadi,3,Flat,1175,Ready to Move,Resale,Furnished,1,3,NA,Freehold,East,120
 Veerbhadra Nagar Baner,1,Flat,453,Ready to Move,New Property,Unfurnished,0,1,2,Freehold,West,45
  Undri,2,Flat,750,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,West,40
  Bavdhan,2,Flat,661,Ready to Move,Resale,Unfurnished,1,2,4,Freehold,North  East,65
  Wakad,3,Flat,990,Ready to Move,Resale,Furnished,1,3,2,Freehold,East,105
  Kondhwa,2,Flat,930,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,65
  Bibwewadi,5,Flat,1450,Ready to Move,Resale,Unfurnished,3,3,2,Freehold,East,260
  Alandi Road,2,Flat,679,Ready to Move,Resale,Unfurnished,702,2,1,Freehold,East,39
 Baner,3,Flat,2000,Ready to Move,Resale,SemiFurnished,2,3,2,Freehold,East,175
 Sinhagad Road,3,Flat,1000,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,West,78
  Wagholi,2,Flat,683,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,39
  Wanawari,4,Flat,2000,Ready to Move,New Property,Unfurnished,2,4,3,Freehold,East,195
  Bavdhan,2,Flat,755,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,West,65
