location, bedroom, housetype, carpet_area, status, transatcion, furnishing, balcony, park_count,bath, ownership, facing, price_in_Lac
 Koregaon Park,2,Flat,900,Ready to Move,Resale,SemiFurnished,0,2,2,NA,NA,115
   Wagholi,1,Flat,366,Possession by Mar 21,New Property,Unfurnished,1,1,1,Freehold,East,26.2
  Bavdhan Khurd Bavdhan,3,Flat,1600,Ready to Move,New Property,Unfurnished,1,3,2,Freehold,East,165
  Bavdhan,2,Flat,750,Ready to Move,Resale,Furnished,1,2,1,Cooperative Society,East,82
 Padmavati Bibvewadi,2,Flat,753,Possession by Dec 23,New Property,Unfurnished,1,2,1,Freehold,East,67.4
 Prabhat Road,4,Flat,3800,Ready to Move,Resale,Furnished,2,4,3,Freehold,East,700
  Bavdhan,2,Flat,600,Ready to Move,Resale,Furnished,1,2,1,Freehold,East,70
  Amanora Park Town,3,Flat,2245,Ready to Move,Resale,SemiFurnished,1,5,1,Freehold,East,134
  Shankar Kalat Nagar,2,Flat,912,Ready to Move,New Property,Furnished,1,2,1,Freehold,East,110
  Undri,3,Flat,1100,Ready to Move,Resale,SemiFurnished,1,2,3,Freehold,East,72
 Ram NagarBavdhan Bavdhan,4,House,2350,Ready to Move,Resale,SemiFurnished,0,4,3,Cooperative Society,East,295
 Pimple Gurav Pimpri Chinchwad,2,Flat,610,Ready to Move,New Property,Unfurnished,0,2,1,Freehold,South,36
  Dhanori,3,Flat,884,Ready to Move,Resale,Unfurnished,0,2,2,Cooperative Society,East,60
  Balewadi,3,Flat,1000,Ready to Move,Resale,SemiFurnished,2,3,3,Cooperative Society,East,168
 Kothrud,3,Flat,1760,Ready to Move,Resale,Furnished,1,3,1,Freehold,East,150
 Dhayari Phata Dhayari,1,Flat,480,Ready to Move,Resale,Furnished,1,1,1,Freehold,East,42
 Shivane,2,Flat,1010,Ready to Move,Resale,Furnished,1,2,2,Freehold,East,51
 Bhugaon Bavdhan,4,House,2825,Ready to Move,Resale,Furnished,4,4,2,Freehold,East,525
  Pashan,2,Flat,850,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,West,76
  Balewadi,3,Flat,1070,Possession by Dec 22,New Property,Unfurnished,3,3,2,Freehold,East,125
  Wagholi,3,Flat,2700,Ready to Move,New Property,Unfurnished,2,4,2,Freehold,East,235
  Balewadi Phata Baner,2,Flat,800,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,East,78
  Park Street Pimpri Chinchwad,2,Flat,970,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,72
 Pent  NIBM Road,4,Flat,2000,Ready to Move,Resale,Unfurnished,0,4,3,Cooperative Society,East,250
  Kaspate Vasti Pimpri Chinchwad,3,Flat,1150,Ready to Move,Resale,Unfurnished,2,3,3,Cooperative Society,East,99
  Hinjewadi Phase 1,2,Flat,715,Possession by Dec 21,New Property,Unfurnished,1,2,1,Freehold,East,55
  Wakad,2,Flat,1102,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,90
 Bhumkar Nagar Pimpri Chinchwad,2,Flat,761,Possession by Dec 22,New Property,Unfurnished,1,2,1,Freehold,West,69.5
 Magarpatta City,4,House,3000,Ready to Move,Resale,SemiFurnished,2,3,2,Freehold,East,490
  Chandani Chowk Bavdhan,5,House,4500,Ready to Move,New Property,Unfurnished,4,6,3,Freehold,East,465
  Balewadi Stadium Balewadi,2,Flat,820,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,65
 Vadgaon Maval,2,House,2000,Ready to Move,New Property,Furnished,0,3,2,Freehold,East,60
  Charholi Budruk,2,Flat,784,Possession by Dec 22,New Property,Unfurnished,0,2,1,NA,NA,59.5
  Anand NagarKothurd Kothrud,2,Flat,810,Ready to Move,Resale,SemiFurnished,1,2,2,Cooperative Society,East,115
  Baner,4,Flat,1375,Ready to Move,New Property,SemiFurnished,0,3,3,Freehold,South,155
 Pent Hadapsar,3,Flat,1565,Ready to Move,Resale,SemiFurnished,1,3,3,Freehold,East,110
  Hadapsar,2,Flat,NA,Ready to Move,Resale,Furnished,1,2,2,Freehold,East,47
  Hinjewadi Phase 1,1,Flat,384,Possession by Dec 22,New Property,Unfurnished,1,1,1,Freehold,NA,33.5
  Ubale Nagar,2,Flat,808,Possession by Dec 23,New Property,Unfurnished,1,2,1,Freehold,East,69.5
  Charholi,1,Flat,480,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,37
  Punawale Pimpri Chinchwad,2,Flat,860,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,63
  Siddarth NagarAundh Aundh,0,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,NA,Freehold,South West,32.9
  Wagholi,1,Flat,677,Ready to Move,Resale,Unfurnished,1,1,1,Cooperative Society,West,27.4
 Chandan Nagar Malwadi,2,Flat,715,Possession by Mar 22,Resale,Unfurnished,1,2,2,Freehold,East,65
  Hinjewadi,1,Flat,580,Ready to Move,Resale,Furnished,2,1,1,Cooperative Society,North,55
 Gangotri Dhanwantari,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,West,150
 Nana Peth Ganesh Peth,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,NA,Freehold,NA,24.5
  Baner,2,Flat,1000,Ready to Move,Resale,Unfurnished,1,2,3,Cooperative Society,East,90
 Tingre Nagar,2,Flat,750,Ready to Move,Resale,SemiFurnished,0,2,2,Cooperative Society,East,67
  Viman Nagar,4,Flat,2868,Ready to Move,Resale,SemiFurnished,2,6,1,Freehold,North  East,360
  Laxmi NagarBalewadi,3,Flat,1723,Possession by Dec 22,New Property,Unfurnished,2,3,2,Freehold,East,198
  Mohammed Wadi,2,Flat,1170,Ready to Move,New Property,Unfurnished,0,2,3,Freehold,North  East,67
  Hinjewadi Phase 1,3,Flat,1185,Possession by Dec 23,New Property,Unfurnished,1,3,2,Freehold,East,105
  Sus,2,Flat,660,Ready to Move,New Property,Unfurnished,1,2,1,Freehold,East,50.2
  Hinjewadi,2,Flat,850,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,West,59.2
  Koregaon Park,4,Flat,2100,Ready to Move,Resale,Furnished,1,5,3,Freehold,NA,350
  Awhalwadi,1,House,650,Ready to Move,Resale,Unfurnished,1,1,NA,Freehold,East,26
  Chikhali,1,Flat,490,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,West,28.5
 Somwar Peth,4,Flat,2104,Ready to Move,Resale,Furnished,1,3,NA,Cooperative Society,South West,380
 ITI Road,3,Flat,1385,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,East,155
  Hinjewadi,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,NA,South West,65
 Ambegaon Budruk,1,Flat,520,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,41
 Pimpri Chinchwad,2,Flat,750,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,51
 Wakad,2,Flat,700,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,57
  Lohegaon,3,Flat,1037,Ready to Move,Resale,SemiFurnished,1,3,2,Freehold,South  East,95
  Akurdi Pimpri Chinchwad,1,Flat,480,Ready to Move,Resale,Furnished,0,1,1,Freehold,East,40
  Kondhwa,3,Flat,1300,Ready to Move,Resale,SemiFurnished,3,3,2,Cooperative Society,East,105
  Thergaon Pimpri Chinchwad,2,Flat,785,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,North,70
 Erandwane,3,Flat,1200,Ready to Move,Resale,Furnished,1,3,1,Cooperative Society,South  East,225
  Wanawari,3,Flat,1500,Ready to Move,Resale,SemiFurnished,1,3,3,Cooperative Society,East,140
  Patil NagarBalewadi,2,Flat,825,Ready to Move,Resale,SemiFurnished,1,2,2,Cooperative Society,East,78
  Kharadi,2,Flat,990,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,111
  Bavdhan,3,Flat,NA,Possession by Jun 23,New Property,SemiFurnished,1,2,1,Freehold,East,114
  Kondhwa,3,Flat,1800,Ready to Move,Resale,Unfurnished,1,3,3,Freehold,East,160
 Viman Nagar,2,Flat,900,Possession by Jun 22,New Property,Unfurnished,1,2,1,Freehold,East,105
  Kirtane Baug Mundhwa,3,Flat,1585,Ready to Move,Resale,Furnished,1,3,3,Freehold,East,130
  Wadgaon Sheri,2,Flat,1000,Ready to Move,Resale,SemiFurnished,0,2,2,Freehold,East,90
  Hinjewadi,2,Flat,900,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,East,53
 Pimple Saudagar Pimpri Chinchwad,4,House,2400,Ready to Move,Resale,SemiFurnished,2,3,1,Cooperative Society,East,225
 Kharadi,6,Flat,900,Ready to Move,New Property,SemiFurnished,1,6,5,Freehold,East,130
  Kuthwad Colony Lohegaon,2,Flat,721,Ready to Move,Resale,Unfurnished,1,2,3,Freehold,East,46
  Jadhav Nagar Mundhwa,2,Flat,964,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,North,70
  Mumbai Pune Hwy,3,Flat,1445,Ready to Move,New Property,Unfurnished,1,3,1,Freehold,East,117
  Baner,3,Flat,2650,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,East,375
  Balewadi,2,Flat,NA,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,90
  Keshav Nagar Mundhwa,1,Flat,493,Ready to Move,New Property,Unfurnished,1,1,1,Freehold,East,36.3
   Keshav Nagar Mundhwa,3,Flat,969,Ready to Move,New Property,Unfurnished,0,2,1,Freehold,East,95
  Ravet Pimpri Chinchwad,2,Flat,680,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,42
  Balewadi Stadium Balewadi,2,Flat,800,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,61
  Punawale Pimpri Chinchwad,2,Flat,875,Possession by Jun 21,New Property,Unfurnished,1,2,3,Freehold,East,60
 Kothrud,3,Flat,1150,Ready to Move,New Property,Unfurnished,1,3,NA,Freehold,West,140
  Wireless Colony Aundh,2,Flat,1232,Ready to Move,Resale,Furnished,1,2,2,Cooperative Society,East,140
  Indira NagarUndri Undri,3,Flat,950,Ready to Move,Resale,Unfurnished,1,2,3,Cooperative Society,East,53
  Pimple Saudagar Pimpri Chinchwad,2,Flat,750,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,75
  Vishrantwadi Airport Road,3,Flat,1000,Ready to Move,Resale,SemiFurnished,1,2,3,Cooperative Society,East,90
  Salunkhe Vihar Mohammed Wadi,3,Flat,1350,Ready to Move,Resale,Unfurnished,1,3,2,Cooperative Society,North,95
 Koregaon Park,1,Flat,525,Ready to Move,Resale,SemiFurnished,1,1,NA,Freehold,East,71
 Mangalwar Peth Kasba Peth,2,Flat,950,Ready to Move,Resale,Furnished,0,1,1,Cooperative Society,East,70
  Koregaon Park,3,Flat,1350,Ready to Move,Resale,Unfurnished,1,4,2,Freehold,North,200
  Handewadi,2,Flat,657,Ready to Move,New Property,Unfurnished,1,2,1,Freehold,East,32
 KharadiWagholi,2,Flat,788,Ready to Move,New Property,Unfurnished,1,2,1,Freehold,East,50
  Rahatni Pimpri Chinchwad,2,Flat,750,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,58
  Wakad,2,Flat,740,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,56
  Viman Nagar,4,Flat,1474,Possession by Dec 22,New Property,Unfurnished,2,4,3,Freehold,East,145
  Magarpatta City,3,Flat,1150,Ready to Move,Resale,Unfurnished,1,3,3,Freehold,North,129
 Ambegaon Budruk,2,Flat,685,Ready to Move,New Property,SemiFurnished,1,2,2,Freehold,East,57.3
  Shankar Kalat Nagar,2,Flat,780,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,71
  Hadapsar,3,Flat,1050,Ready to Move,Resale,Unfurnished,1,3,2,Cooperative Society,East,58
 Dhayari Phata Dhayari,2,Flat,NA,Ready to Move,Resale,Furnished,1,2,NA,Cooperative Society,East,70
  Punawale Pimpri Chinchwad,2,Flat,750,Ready to Move,Resale,Unfurnished,1,2,3,Freehold,East,54
  Bavdhan,2,Flat,800,Ready to Move,Resale,Furnished,1,2,2,Freehold,East,78
  Viman Nagar,2,Flat,880,Ready to Move,New Property,SemiFurnished,0,2,1,Freehold,East,92
  Manjri Manjri Budruk,3,Flat,952,NA,New Property,Unfurnished,0,3,NA,NA,NA,78.4
 Anand Park,3,House,1500,Ready to Move,Resale,Unfurnished,0,2,1,NA,NA,85
   Bopodi Old Mumbai PuneHighway,1,Flat,NA,NA,Resale,SemiFurnished,0,1,NA,NA,NA,38
  Sinhagad Road,2,Flat,761,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,75
 NIBM Annexe,3,Flat,1010,Ready to Move,Resale,Unfurnished,1,3,3,Freehold,East,77
  Keshav Nagar Mundhwa,3,Flat,960,Possession by Jun 23,New Property,Unfurnished,1,3,2,Freehold,West,73
  Marunji Hinjawadi,2,Flat,722,Ready to Move,New Property,Unfurnished,0,2,3,Freehold,East,45
 Kalyani Nagar,2,Flat,860,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,West,127
  Hinjewadi Phase 1,3,Flat,1331,Ready to Move,Resale,Unfurnished,1,3,2,Cooperative Society,North  East,110
  Baner,2,Flat,925,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,90
 Yash TwTower Baner,3,Flat,1355,Ready to Move,New Property,Unfurnished,1,4,2,Freehold,East,120
  Hinjewadi,2,Flat,680,Ready to Move,New Property,Unfurnished,1,2,1,Freehold,East,43
  Kalubai Nagar Wagholi,3,Flat,2100,Ready to Move,New Property,SemiFurnished,2,4,2,Freehold,East,238
 Marigold complex Kalyani Nagar,3,Flat,NA,Ready to Move,Resale,SemiFurnished,0,3,2,Freehold,East,185
  Ravet Pimpri Chinchwad,1,Flat,700,Ready to Move,New Property,Unfurnished,1,2,2,Cooperative Society,East,32.6
  Mahalunge,2,Flat,721,Possession by Dec 21,New Property,Unfurnished,1,2,3,Freehold,East,52
  NIBM Annexe,3,Flat,1500,Ready to Move,New Property,Unfurnished,1,3,3,Freehold,East,74.5
  Amanora Park Town,3,Flat,1250,Ready to Move,New Property,Unfurnished,1,3,2,Freehold,East,130
  Hinjewadi,3,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,NA,NA,77
  Kondhwa,2,Flat,1010,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,85
 gloxinia greens,3,Flat,1200,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,East,170
 Nana Peth Ganesh Peth,3,Flat,NA,Ready to Move,Resale,SemiFurnished,0,2,NA,Freehold,East,77
 Bijali Nagar,1,Flat,516,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,South West,38
 Sinhagad Road,1,Flat,NA,Ready to Move,Resale,SemiFurnished,1,1,1,Cooperative Society,East,59.8
  Chinchwad Pimpri Chinchwad,1,Flat,560,Ready to Move,Resale,Furnished,0,1,NA,Freehold,North  East,40
  Katraj Kondhwa Road,2,Flat,738,Ready to Move,Resale,Unfurnished,0,2,1,NA,South  East,69
 Panchagani Mahabaleshwar,4,House,NA,Ready to Move,Resale,SemiFurnished,4,6,NA,Freehold,NA,175
  Hinjewadi,0,Flat,445,Ready to Move,Resale,SemiFurnished,1,1,NA,Cooperative Society,East,45
 Pent  Pimple Nilakh Pimpri Chinchwad,4,Flat,NA,Ready to Move,New Property,SemiFurnished,0,5,2,Cooperative Society,East,411
  Wadgaon Sheri,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,East,58
  Wakad,2,Flat,905,Ready to Move,New Property,SemiFurnished,1,2,2,Cooperative Society,West,79.5
  Punawale Pimpri Chinchwad,3,Flat,NA,Ready to Move,New Property,Unfurnished,1,3,1,Cooperative Society,East,64
  Ravet Pimpri Chinchwad,2,Flat,800,Ready to Move,New Property,Unfurnished,1,2,2,Cooperative Society,East,54
  Roseland Residency Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Furnished,1,2,2,Freehold,East,79
  Kharadi,3,Flat,1800,Ready to Move,Resale,Unfurnished,2,3,3,Freehold,East,165
 Bhusari Colony Kothrud,3,House,2100,Ready to Move,Resale,Unfurnished,0,3,3,Cooperative Society,East,180
  Sinhagad Road,2,Flat,850,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,110
  Kothrud,2,Flat,1000,Ready to Move,Resale,Unfurnished,0,2,2,Freehold,East,89
  Shankar Kalat Nagar,2,Flat,800,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,NA,64
  Tathawade Dattwadi,2,Flat,781,Possession by Jun 22,New Property,SemiFurnished,1,2,2,Freehold,East,70
Mundhwa,2,House,750,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,68
  Kharadi,4,House,NA,Ready to Move,Resale,Unfurnished,1,4,2,Freehold,East,325
  Kharadi,3,Flat,1395,Ready to Move,New Property,SemiFurnished,0,3,3,Freehold,East,140
  Balewadi,3,Flat,1230,Ready to Move,Resale,Unfurnished,1,3,3,Freehold,East,100
  Aundh,2,Flat,1016,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,South,135
  Fatima Nagar Wanawari,3,House,1500,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,135
  Baner,3,House,1917,Ready to Move,Resale,Unfurnished,2,3,3,Freehold,East,155
  Bavdhan,3,Flat,950,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,West,65
  Chinchwad Pimpri Chinchwad,3,Flat,NA,Ready to Move,Resale,SemiFurnished,0,3,NA,NA,NA,200
 mahalaxmi vihar,2,Flat,900,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,North  East,90
 Aundh,2,Flat,1100,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,South,130
 Brahmarvind Housing Society Pimpri Chinchwad,3,Flat,1050,Ready to Move,Resale,SemiFurnished,0,2,3,Freehold,East,100
  NIBM Annexe,3,Flat,1462,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,West,98
  Phursungi,1,Flat,NA,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,30
  Hadapsar,2,Flat,700,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,North,40
  Baner,4,Flat,NA,Ready to Move,Resale,SemiFurnished,0,4,2,Cooperative Society,North,340
  Pimple Saudagar Pimpri Chinchwad,3,Flat,NA,Ready to Move,Resale,Furnished,1,2,1,Cooperative Society,East,95
  Pimple Nilakh Pimpri Chinchwad,2,Flat,835,Ready to Move,Resale,Furnished,2,2,2,Freehold,East,90
  Wagholi,1,Flat,520,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,28.5
  Kharadi,1,Flat,450,Ready to Move,Resale,Unfurnished,1,1,2,Cooperative Society,East,50
  Wakad,2,Flat,630,Ready to Move,Resale,Furnished,1,2,2,Cooperative Society,East,70
 Wakad,4,Flat,2200,Ready to Move,Resale,Unfurnished,2,4,2,Freehold,South,170
  Wakad,3,Flat,1138,Ready to Move,New Property,SemiFurnished,0,3,2,Freehold,East,75
  Laxmi NagarBalewadi,3,Flat,1470,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,East,125
  Amanora Park Town,2,Flat,950,Ready to Move,Resale,SemiFurnished,1,2,2,Leasehold,NA,90
  Tathawade Dattwadi,2,Flat,921,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,80
  Rahatni Pimpri Chinchwad,2,Flat,890,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,85
  Dhanori,1,Flat,525,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,45
  Undri,3,Flat,NA,Ready to Move,Resale,Unfurnished,0,3,NA,NA,NA,100
 Viman Nagar,3,House,1300,Ready to Move,Resale,Furnished,0,3,4,Cooperative Society,East,179
  Pimple Saudagar Pimpri Chinchwad,3,Flat,1251,Ready to Move,Resale,Furnished,1,3,4,Freehold,East,135
  Katraj Kondhwa Road,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,52
  Viman Nagar,2,House,1500,Ready to Move,Resale,SemiFurnished,1,2,2,Cooperative Society,East,115
  Wakad,3,Flat,1150,Ready to Move,Resale,Unfurnished,1,3,3,Freehold,East,90
  Wagholi,2,Flat,770,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,44
  Keshav Nagar Mundhwa,3,Flat,1250,Ready to Move,New Property,SemiFurnished,0,2,1,Freehold,East,106
 Wadmukhwadi,1,Flat,NA,Possession by Mar 21,Resale,SemiFurnished,0,1,1,Freehold,East,27
  Swargate Shivaji Road,2,Flat,NA,Ready to Move,Resale,Furnished,0,1,NA,NA,NA,90
  Undri,2,Flat,NA,Ready to Move,Resale,SemiFurnished,0,2,NA,NA,NA,58
  Vishrantwadi Airport Road,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,NA,NA,85
  Vishrantwadi Airport Road,1,Flat,570,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,East,35
 Pent Dashrath Nagar,3,Flat,1020,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,East,85
  Manjri Manjri Budruk,2,Flat,669,Ready to Move,Resale,Unfurnished,0,2,2,Freehold,NA,51
 Guruwar Peth,2,Flat,780,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,East,82
  Hinjewadi Phase 2,2,Flat,754,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,61
 Dhankawadi,4,House,2650,Ready to Move,Resale,Unfurnished,1,5,2,Freehold,North  East,265
  Warje,2,Flat,850,Ready to Move,Resale,SemiFurnished,1,2,NA,Freehold,East,60
  Pirangut,2,Flat,542,Ready to Move,New Property,Unfurnished,1,2,1,Freehold,North  East,34
 Gahunje,0,Flat,490,Ready to Move,Resale,SemiFurnished,1,1,1,Cooperative Society,East,70
  Baner road,5,House,3500,Ready to Move,Resale,Furnished,3,4,3,Cooperative Society,North  East,651
 Tathawade Dattwadi,3,House,1196,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,East,110
  Hadapsar,2,Flat,903,Ready to Move,Resale,SemiFurnished,1,2,NA,Freehold,South,80
  Bavdhan,2,Flat,700,Ready to Move,Resale,Unfurnished,1,2,3,Freehold,West,90.5
 Bhugaon Bavdhan,1,Flat,NA,Ready to Move,Resale,SemiFurnished,0,1,NA,NA,NA,35
Apartment for Sale  Undri,0,Flat,NA,Ready to Move,Resale,NA,1,NA,NA,Freehold,NA,65
 Chinchwad Gaon Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,East,52
Baramati Pune,3,House,1350,Ready to Move,Resale,Unfurnished,0,4,1,NA,NA,42
 Hill lock towers,1,Flat,460,Ready to Move,Resale,Unfurnished,0,1,1,NA,NA,24
  Chakan,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,NA,NA,34.5
  Pirangut,2,Flat,744,Ready to Move,New Property,Unfurnished,0,2,1,Freehold,East,35
  Wakad,2,Flat,850,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,73
  Baner Gaon Baner,3,Flat,NA,Ready to Move,Resale,Unfurnished,1,3,3,Cooperative Society,East,98
  Punawale Pimpri Chinchwad,2,Flat,715,Ready to Move,New Property,SemiFurnished,0,2,2,Freehold,East,45
  Wakad,3,Flat,1044,Ready to Move,New Property,Unfurnished,1,3,1,Freehold,East,96
 Wakad,2,Flat,870,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,NA,71
  Pimple Saudagar Pimpri Chinchwad,3,Flat,1225,Ready to Move,Resale,Unfurnished,0,3,2,Cooperative Society,East,94
 NDA Road,7,House,8000,Ready to Move,Resale,Furnished,2,8,6,Freehold,North,1200
  Chinchwad Pimpri Chinchwad,3,Flat,1250,Ready to Move,Resale,Unfurnished,1,3,3,Cooperative Society,North  East,115
 Manaji Nagar,2,Flat,583,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,47
  Hinjewadi,1,Flat,415,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,42
  Lohegaon,1,Flat,502,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,30
  Wadebolai,2,Flat,500,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,East,16
  Wagholi,1,Flat,NA,Ready to Move,Resale,Unfurnished,1,1,NA,Freehold,North,32
  Ravet Pimpri Chinchwad,2,Flat,NA,Possession by Jul 21,Resale,Unfurnished,1,2,NA,Freehold,East,46.4
 Madhav Nagar Dhanori,2,Flat,993,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,East,57
 Ambegaon Budruk,2,Flat,NA,Ready to Move,Resale,SemiFurnished,1,2,1,NA,NA,52
  Warje,2,Flat,NA,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,North  East,56
 Kharadi,4,Flat,1300,Ready to Move,Resale,SemiFurnished,0,4,1,NA,NA,320
  Vishrantwadi Airport Road,1,Flat,550,Ready to Move,Resale,Unfurnished,0,1,NA,Freehold,NA,37
  TapkNagar Pimpri Chinchwad,3,Flat,857,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,East,81
 Wadgaon Sheri,2,Flat,950,Ready to Move,New Property,SemiFurnished,0,1,2,Power Of Attorney,East,75
  Wagholi,2,Flat,600,Ready to Move,Resale,Furnished,1,2,2,Cooperative Society,East,33.7
  Pimple Saudagar Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,NA,NA,NA,60
  Alandi Kelgaon,1,Flat,NA,Ready to Move,Resale,SemiFurnished,0,1,1,NA,NA,23
 Wireless Colony Aundh,2,House,NA,Immediately,NA,Furnished,1,2,1,NA,East,100
  Hadapsar Indutrial Estate Hadapsar Old Mumbai PuneHighway,3,Flat,992,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,West,85
  Kondhwa,3,Flat,1009,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,East,75
  NIBM Annexe,2,Flat,926,Ready to Move,Resale,SemiFurnished,1,2,NA,Freehold,East,62
  Ambe Gaon,1,Flat,415,Ready to Move,Resale,Unfurnished,0,2,1,NA,East,37
  Talawade Pimpri,2,Flat,910,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,North,35
  Undri,2,Flat,774,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,West,50
  Dange Chowk,2,Flat,900,Ready to Move,Resale,Furnished,1,2,2,Leasehold,East,65
 Shivane,1,Flat,407,Possession by May 21,Resale,Unfurnished,1,1,1,Freehold,East,24.7
  Ravet Pimpri Chinchwad,2,Flat,700,Ready to Move,Resale,Unfurnished,0,2,3,Cooperative Society,East,50.5
  Charholi Budruk,1,Flat,511,Ready to Move,Resale,Unfurnished,1,1,2,Cooperative Society,South  East,43
  Bhugaon Bavdhan,2,Flat,975,Ready to Move,Resale,Furnished,1,2,2,Cooperative Society,West,72
  Senapati Bapat Road,3,Flat,1132,Ready to Move,Resale,SemiFurnished,1,3,2,Freehold,East,180
  Pimple Saudagar Pimpri Chinchwad,2,Flat,881,Ready to Move,Resale,Unfurnished,1,2,3,Freehold,East,73
 Mundhwa,3,Flat,1200,Ready to Move,Resale,SemiFurnished,0,3,2,NA,NA,150
  panchratna apartment fatemanagar wanowrie,1,Flat,NA,Ready to Move,Resale,SemiFurnished,0,1,NA,NA,NA,38
  Pimpri Chinchwad,3,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,3,NA,NA,70
 Dhayari,1,Flat,500,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,East,27
 Pimple Saudagar Pimpri Chinchwad,2,Flat,700,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,75
  Sudharshan Nagar Pimpri Chinchwad,2,Flat,768,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,West,76
